video_id,repetition_number,exercise_id,exercise_name,person_id,first_frame,last_frame,n_frames,duration_s,cam17_orientation,cam18_orientation,sagittal_view_camera,exercise_subtype,lights_on,mocap_erroneous,extra_person_in_cam17,extra_person_in_cam18,quality_ok,correctness,video_path_cam17,video_path_cam18,has_video,frames_in_range
PM_000,1,1,Arm Abduction,1,180,377,198,6.6,front,side,Camera18,right arm,False,False,3,0,False,1,videos/Ex1/PM_000-Camera17-30fps.mp4,videos/Ex1/PM_000-Camera18-30fps-transposed.mp4,True,True
PM_000,2,1,Arm Abduction,1,378,620,243,8.1,front,side,Camera18,right arm,False,False,3,0,False,1,videos/Ex1/PM_000-Camera17-30fps.mp4,videos/Ex1/PM_000-Camera18-30fps-transposed.mp4,True,True
PM_000,3,1,Arm Abduction,1,621,865,245,8.1667,front,side,Camera18,right arm,False,False,3,0,False,1,videos/Ex1/PM_000-Camera17-30fps.mp4,videos/Ex1/PM_000-Camera18-30fps-transposed.mp4,True,True
PM_000,4,1,Arm Abduction,1,866,1085,220,7.3333,front,side,Camera18,right arm,False,False,3,3,False,1,videos/Ex1/PM_000-Camera17-30fps.mp4,videos/Ex1/PM_000-Camera18-30fps-transposed.mp4,True,True
PM_000,5,1,Arm Abduction,1,1086,1265,180,6.0,front,side,Camera18,right arm,False,False,3,3,False,1,videos/Ex1/PM_000-Camera17-30fps.mp4,videos/Ex1/PM_000-Camera18-30fps-transposed.mp4,True,True
PM_001,1,1,Arm Abduction,1,130,324,195,6.5,front,side,Camera18,right arm,False,False,1,0,True,1,videos/Ex1/PM_001-Camera17-30fps.mp4,videos/Ex1/PM_001-Camera18-30fps-transposed.mp4,True,True
PM_001,2,1,Arm Abduction,1,325,537,213,7.1,front,side,Camera18,right arm,False,False,1,0,True,1,videos/Ex1/PM_001-Camera17-30fps.mp4,videos/Ex1/PM_001-Camera18-30fps-transposed.mp4,True,True
PM_001,3,1,Arm Abduction,1,538,731,194,6.4667,front,side,Camera18,right arm,False,False,1,0,True,1,videos/Ex1/PM_001-Camera17-30fps.mp4,videos/Ex1/PM_001-Camera18-30fps-transposed.mp4,True,True
PM_001,4,1,Arm Abduction,1,732,919,188,6.2667,front,side,Camera18,right arm,False,False,1,0,True,1,videos/Ex1/PM_001-Camera17-30fps.mp4,videos/Ex1/PM_001-Camera18-30fps-transposed.mp4,True,True
PM_001,5,1,Arm Abduction,1,920,1090,171,5.7,front,side,Camera18,right arm,False,False,1,0,True,1,videos/Ex1/PM_001-Camera17-30fps.mp4,videos/Ex1/PM_001-Camera18-30fps-transposed.mp4,True,True
PM_001,6,1,Arm Abduction,1,1690,1940,251,8.3667,front,side,Camera18,right arm,False,False,1,0,True,0,videos/Ex1/PM_001-Camera17-30fps.mp4,videos/Ex1/PM_001-Camera18-30fps-transposed.mp4,True,True
PM_001,7,1,Arm Abduction,1,2060,2346,287,9.5667,front,side,Camera18,right arm,False,False,1,0,True,0,videos/Ex1/PM_001-Camera17-30fps.mp4,videos/Ex1/PM_001-Camera18-30fps-transposed.mp4,True,True
PM_001,8,1,Arm Abduction,1,2347,2554,208,6.9333,front,side,Camera18,right arm,False,False,1,0,True,0,videos/Ex1/PM_001-Camera17-30fps.mp4,videos/Ex1/PM_001-Camera18-30fps-transposed.mp4,True,True
PM_001,9,1,Arm Abduction,1,2555,2746,192,6.4,front,side,Camera18,right arm,False,False,1,0,True,0,videos/Ex1/PM_001-Camera17-30fps.mp4,videos/Ex1/PM_001-Camera18-30fps-transposed.mp4,True,True
PM_001,10,1,Arm Abduction,1,2747,2961,215,7.1667,front,side,Camera18,right arm,False,False,1,0,True,0,videos/Ex1/PM_001-Camera17-30fps.mp4,videos/Ex1/PM_001-Camera18-30fps-transposed.mp4,True,True
PM_002,1,1,Arm Abduction,1,152,363,212,7.0667,half-profile,half-profile,neither,right arm,False,False,1,0,True,1,videos/Ex1/PM_002-Camera17-30fps.mp4,videos/Ex1/PM_002-Camera18-30fps-transposed.mp4,True,True
PM_002,2,1,Arm Abduction,1,364,573,210,7.0,half-profile,half-profile,neither,right arm,False,False,1,0,True,1,videos/Ex1/PM_002-Camera17-30fps.mp4,videos/Ex1/PM_002-Camera18-30fps-transposed.mp4,True,True
PM_002,3,1,Arm Abduction,1,574,766,193,6.4333,half-profile,half-profile,neither,right arm,False,False,1,0,True,1,videos/Ex1/PM_002-Camera17-30fps.mp4,videos/Ex1/PM_002-Camera18-30fps-transposed.mp4,True,True
PM_002,4,1,Arm Abduction,1,767,910,144,4.8,half-profile,half-profile,neither,right arm,False,False,1,0,True,1,videos/Ex1/PM_002-Camera17-30fps.mp4,videos/Ex1/PM_002-Camera18-30fps-transposed.mp4,True,True
PM_002,5,1,Arm Abduction,1,1000,1225,226,7.5333,half-profile,half-profile,neither,right arm,False,False,2,0,False,0,videos/Ex1/PM_002-Camera17-30fps.mp4,videos/Ex1/PM_002-Camera18-30fps-transposed.mp4,True,True
PM_002,6,1,Arm Abduction,1,1226,1407,182,6.0667,half-profile,half-profile,neither,right arm,False,False,2,0,False,0,videos/Ex1/PM_002-Camera17-30fps.mp4,videos/Ex1/PM_002-Camera18-30fps-transposed.mp4,True,True
PM_002,7,1,Arm Abduction,1,1408,1605,198,6.6,half-profile,half-profile,neither,right arm,False,False,1,0,True,0,videos/Ex1/PM_002-Camera17-30fps.mp4,videos/Ex1/PM_002-Camera18-30fps-transposed.mp4,True,True
PM_002,8,1,Arm Abduction,1,1606,1800,195,6.5,half-profile,half-profile,neither,right arm,False,False,1,0,True,0,videos/Ex1/PM_002-Camera17-30fps.mp4,videos/Ex1/PM_002-Camera18-30fps-transposed.mp4,True,True
PM_002,9,1,Arm Abduction,1,1801,1967,167,5.5667,half-profile,half-profile,neither,right arm,False,False,2,0,False,0,videos/Ex1/PM_002-Camera17-30fps.mp4,videos/Ex1/PM_002-Camera18-30fps-transposed.mp4,True,True
PM_012,1,1,Arm Abduction,2,170,360,191,6.3667,front,side,Camera18,right arm,False,False,0,0,True,1,videos/Ex1/PM_012-Camera17-30fps.mp4,videos/Ex1/PM_012-Camera18-30fps-transposed.mp4,True,True
PM_012,2,1,Arm Abduction,2,361,528,168,5.6,front,side,Camera18,right arm,False,False,0,0,True,1,videos/Ex1/PM_012-Camera17-30fps.mp4,videos/Ex1/PM_012-Camera18-30fps-transposed.mp4,True,True
PM_012,3,1,Arm Abduction,2,529,718,190,6.3333,front,side,Camera18,right arm,False,False,0,0,True,1,videos/Ex1/PM_012-Camera17-30fps.mp4,videos/Ex1/PM_012-Camera18-30fps-transposed.mp4,True,True
PM_012,4,1,Arm Abduction,2,719,890,172,5.7333,front,side,Camera18,right arm,False,False,0,0,True,1,videos/Ex1/PM_012-Camera17-30fps.mp4,videos/Ex1/PM_012-Camera18-30fps-transposed.mp4,True,True
PM_012,5,1,Arm Abduction,2,891,1035,145,4.8333,front,side,Camera18,right arm,False,False,0,0,True,1,videos/Ex1/PM_012-Camera17-30fps.mp4,videos/Ex1/PM_012-Camera18-30fps-transposed.mp4,True,True
PM_012,6,1,Arm Abduction,2,1685,1825,141,4.7,front,side,Camera18,right arm,False,False,2,0,False,0,videos/Ex1/PM_012-Camera17-30fps.mp4,videos/Ex1/PM_012-Camera18-30fps-transposed.mp4,True,True
PM_012,7,1,Arm Abduction,2,1826,1935,110,3.6667,front,side,Camera18,right arm,False,False,0,0,True,0,videos/Ex1/PM_012-Camera17-30fps.mp4,videos/Ex1/PM_012-Camera18-30fps-transposed.mp4,True,True
PM_012,8,1,Arm Abduction,2,1936,2070,135,4.5,front,side,Camera18,right arm,False,False,0,0,True,0,videos/Ex1/PM_012-Camera17-30fps.mp4,videos/Ex1/PM_012-Camera18-30fps-transposed.mp4,True,True
PM_012,9,1,Arm Abduction,2,2071,2215,145,4.8333,front,side,Camera18,right arm,False,False,0,0,True,0,videos/Ex1/PM_012-Camera17-30fps.mp4,videos/Ex1/PM_012-Camera18-30fps-transposed.mp4,True,True
